log_file,pipeline,stage,total_time,z,mcz,mcz_min,mcz_max,mcz_pts,td_min_ms,td_max_ms,td_pts,omega_min,omega_max,omega_pts,theta_min,theta_max,theta_pts,gamma_pts,dtype,orientation,date,status,Note
build_template_banks_3055124_0.out,mcz_td,build,0:4:1.83,1,5.0,,,,,,,0,6,61,0,15,151,51,,Taman_random,2026-04-03,ok,ODEintWarning
build_template_banks_3055124_1.out,mcz_td,build,0:3:48.49,1,5.5,,,,,,,0,6,61,0,15,151,51,,Taman_random,2026-04-03,ok,ODEintWarning
build_template_banks_3055124_2.out,mcz_td,build,0:3:48.81,1,6.0,,,,,,,0,6,61,0,15,151,51,,Taman_random,2026-04-03,ok,
build_template_banks_3055124_3.out,mcz_td,build,0:3:33.7,1,6.5,,,,,,,0,6,61,0,15,151,51,,Taman_random,2026-04-03,ok,ODEintWarning
build_template_banks_3055124_4.out,mcz_td,build,0:3:31.73,1,7.0,,,,,,,0,6,61,0,15,151,51,,Taman_random,2026-04-03,ok,ODEintWarning
build_template_banks_3055124_5.out,mcz_td,build,0:3:21.3,1,7.5,,,,,,,0,6,61,0,15,151,51,,Taman_random,2026-04-03,ok,ODEintWarning
build_template_banks_3055124_6.out,mcz_td,build,0:3:13.08,1,8.0,,,,,,,0,6,61,0,15,151,51,,Taman_random,2026-04-03,ok,ODEintWarning
build_template_banks_3055124_7.out,mcz_td,build,0:3:15.97,1,8.5,,,,,,,0,6,61,0,15,151,51,,Taman_random,2026-04-03,ok,ODEintWarning
build_template_banks_3055124_8.out,mcz_td,build,0:2:59.11,1,9.0,,,,,,,0,6,61,0,15,151,51,,Taman_random,2026-04-03,ok,ODEintWarning
build_template_banks_3055124_9.out,mcz_td,build,0:2:55.03,1,9.5,,,,,,,0,6,61,0,15,151,51,,Taman_random,2026-04-03,ok,ODEintWarning
build_template_banks_3055124_10.out,mcz_td,build,0:2:56.24,1,10.0,,,,,,,0,6,61,0,15,151,51,,Taman_random,2026-04-03,ok,
build_template_banks_3055124_11.out,mcz_td,build,0:2:51.47,1,10.5,,,,,,,0,6,61,0,15,151,51,,Taman_random,2026-04-03,ok,ODEintWarning
build_template_banks_3055124_12.out,mcz_td,build,0:2:49.41,1,11.0,,,,,,,0,6,61,0,15,151,51,,Taman_random,2026-04-03,ok,ODEintWarning
build_template_banks_3055124_13.out,mcz_td,build,0:2:43.01,1,11.5,,,,,,,0,6,61,0,15,151,51,,Taman_random,2026-04-03,ok,ODEintWarning
build_template_banks_3055124_14.out,mcz_td,build,0:2:43.67,1,12.0,,,,,,,0,6,61,0,15,151,51,,Taman_random,2026-04-03,ok,ODEintWarning
build_template_banks_3055124_15.out,mcz_td,build,0:2:39.35,1,12.5,,,,,,,0,6,61,0,15,151,51,,Taman_random,2026-04-03,ok,ODEintWarning
build_template_banks_3055124_16.out,mcz_td,build,0:2:38.6,1,13.0,,,,,,,0,6,61,0,15,151,51,,Taman_random,2026-04-03,ok,ODEintWarning
build_template_banks_3055124_17.out,mcz_td,build,0:2:38.95,1,13.5,,,,,,,0,6,61,0,15,151,51,,Taman_random,2026-04-03,ok,ODEintWarning
build_template_banks_3055124_18.out,mcz_td,build,0:2:37.07,1,14.0,,,,,,,0,6,61,0,15,151,51,,Taman_random,2026-04-03,ok,ODEintWarning
build_template_banks_3055124_19.out,mcz_td,build,0:2:35.53,1,14.5,,,,,,,0,6,61,0,15,151,51,,Taman_random,2026-04-03,ok,ODEintWarning
build_template_banks_3055124_20.out,mcz_td,build,0:2:33.47,1,15.0,,,,,,,0,6,61,0,15,151,51,,Taman_random,2026-04-03,ok,ODEintWarning
build_template_banks_3055124_21.out,mcz_td,build,0:2:28.55,1,15.5,,,,,,,0,6,61,0,15,151,51,,Taman_random,2026-04-03,ok,ODEintWarning
build_template_banks_3055124_22.out,mcz_td,build,0:2:24.74,1,16.0,,,,,,,0,6,61,0,15,151,51,,Taman_random,2026-04-03,ok,ODEintWarning
build_template_banks_3055124_23.out,mcz_td,build,0:2:25.24,1,16.5,,,,,,,0,6,61,0,15,151,51,,Taman_random,2026-04-03,ok,ODEintWarning
build_template_banks_3055124_24.out,mcz_td,build,0:2:23.38,1,17.0,,,,,,,0,6,61,0,15,151,51,,Taman_random,2026-04-03,ok,ODEintWarning
build_template_banks_3055124_25.out,mcz_td,build,0:2:24.07,1,17.5,,,,,,,0,6,61,0,15,151,51,,Taman_random,2026-04-03,ok,ODEintWarning
build_template_banks_3055124_26.out,mcz_td,build,0:2:19.92,1,18.0,,,,,,,0,6,61,0,15,151,51,,Taman_random,2026-04-03,ok,
build_template_banks_3055124_27.out,mcz_td,build,0:2:14.61,1,18.5,,,,,,,0,6,61,0,15,151,51,,Taman_random,2026-04-03,ok,ODEintWarning
build_template_banks_3055124_28.out,mcz_td,build,0:2:17.77,1,19.0,,,,,,,0,6,61,0,15,151,51,,Taman_random,2026-04-03,ok,ODEintWarning
build_template_banks_3055124_29.out,mcz_td,build,0:2:17.31,1,19.5,,,,,,,0,6,61,0,15,151,51,,Taman_random,2026-04-03,ok,ODEintWarning
build_template_banks_3055124_30.out,mcz_td,build,0:2:14.44,1,20.0,,,,,,,0,6,61,0,15,151,51,,Taman_random,2026-04-03,ok,ODEintWarning
build_template_banks_3055124_31.out,mcz_td,build,0:2:11.14,1,20.5,,,,,,,0,6,61,0,15,151,51,,Taman_random,2026-04-03,ok,
build_template_banks_3055124_32.out,mcz_td,build,0:2:11.97,1,21.0,,,,,,,0,6,61,0,15,151,51,,Taman_random,2026-04-03,ok,ODEintWarning
build_template_banks_3055124_33.out,mcz_td,build,0:2:5.08,1,21.5,,,,,,,0,6,61,0,15,151,51,,Taman_random,2026-04-03,ok,
build_template_banks_3055124_34.out,mcz_td,build,0:2:5.07,1,22.0,,,,,,,0,6,61,0,15,151,51,,Taman_random,2026-04-03,ok,ODEintWarning
build_template_banks_3055124_35.out,mcz_td,build,0:2:7.28,1,22.5,,,,,,,0,6,61,0,15,151,51,,Taman_random,2026-04-03,ok,
build_template_banks_3055124_36.out,mcz_td,build,0:2:7.73,1,23.0,,,,,,,0,6,61,0,15,151,51,,Taman_random,2026-04-03,ok,ODEintWarning
build_template_banks_3055124_37.out,mcz_td,build,0:2:5.38,1,23.5,,,,,,,0,6,61,0,15,151,51,,Taman_random,2026-04-03,ok,ODEintWarning
build_template_banks_3055124_38.out,mcz_td,build,0:2:1.64,1,24.0,,,,,,,0,6,61,0,15,151,51,,Taman_random,2026-04-03,ok,
build_template_banks_3055124_39.out,mcz_td,build,0:2:5.21,1,24.5,,,,,,,0,6,61,0,15,151,51,,Taman_random,2026-04-03,ok,ODEintWarning
build_template_banks_3055124_40.out,mcz_td,build,0:2:0.01,1,25.0,,,,,,,0,6,61,0,15,151,51,,Taman_random,2026-04-03,ok,ODEintWarning
build_template_banks_3055124_41.out,mcz_td,build,0:1:58.27,1,25.5,,,,,,,0,6,61,0,15,151,51,,Taman_random,2026-04-03,ok,ODEintWarning
build_template_banks_3055124_42.out,mcz_td,build,0:1:55.41,1,26.0,,,,,,,0,6,61,0,15,151,51,,Taman_random,2026-04-03,ok,ODEintWarning
build_template_banks_3055124_43.out,mcz_td,build,0:1:58.65,1,26.5,,,,,,,0,6,61,0,15,151,51,,Taman_random,2026-04-03,ok,ODEintWarning
build_template_banks_3055124_44.out,mcz_td,build,0:1:55.26,1,27.0,,,,,,,0,6,61,0,15,151,51,,Taman_random,2026-04-03,ok,ODEintWarning
build_template_banks_3055124_45.out,mcz_td,build,0:1:54.05,1,27.5,,,,,,,0,6,61,0,15,151,51,,Taman_random,2026-04-03,ok,
build_template_banks_3055124_46.out,mcz_td,build,0:1:57.2,1,28.0,,,,,,,0,6,61,0,15,151,51,,Taman_random,2026-04-03,ok,ODEintWarning
build_template_banks_3055124_47.out,mcz_td,build,0:1:51.34,1,28.5,,,,,,,0,6,61,0,15,151,51,,Taman_random,2026-04-03,ok,ODEintWarning
build_template_banks_3055124_48.out,mcz_td,build,0:1:47.96,1,29.0,,,,,,,0,6,61,0,15,151,51,,Taman_random,2026-04-03,ok,ODEintWarning
build_template_banks_3055124_49.out,mcz_td,build,0:1:52.55,1,29.5,,,,,,,0,6,61,0,15,151,51,,Taman_random,2026-04-03,ok,
